ArticleID,Authors,PublicationYear,CiteMeAs,BiblioBackBoneSLM,OldBiblioSLM,TimesCited,Title,Affiliation,Country,Abstract,JournalConferenceCitation,CitedReferences,CountCitedReferences,isDHQ,Latitude,Longitude,GeocodedCountry,Department,WOSSubjectArea,DHQKeywords
128,"Barnet, Belinda",2012,barnet2012,community_5,community_0,0,Machine Enhanced (Re)minding: the Development of Storyspace,Swinburne University of Technology,Australia,"This article traces the history of Storyspace, the worldï¿_ï¿_s first program for creating, editing and reading hypertext fiction. Storyspace is crucial to the history of hypertext as well as the history of interactive fiction. It argues that Storyspace was built around a topographic metaphor and that it attempts to model human associative memory. The article is based on interviews with key hypertext pioneers as well as documents created at the time.",Digital Humanities Quarterly,vinder2010 | ayer1984 | barnet2013 | bell2010b | bernstein2011 | bernstein2008 | bernstein1998a | bolter1984 | bolter1985 | bolter1986 | bolter1987 | bolter1991 | bolter2000 | bolter2011 | ciccoricco2007 | coover1999 | eastgate1995 | delany1995 | dehn1981 | dickey1995 | eco1994 | ensslin2007 | hayles2008a | joyce2004 | joyce1998 | joyce1986a | joyce1986 | joyce1987 | joyce2011a | joyce2011b | joyce2001 | joyce2012 | johnson-eilola1993 | kirschenbaum2008 | kitzmann2006 | landow1992 | mcaleese1999 | miles2011 | moulthrop2011 | moulthrop2011a | moulthrop1995 | nunes1999 | rheingold1985 | ryan1999 | schank1999 | smith2011 | smith1986 | vesna2007 | tofts1998 | tolva1993 | yellowlees-douglas2004 | vassar1992,52,1,145.038961,-37.822149,australia,Media and Communications,Art,interactive fiction | hypertext
94,"Beal, Wesley",2011,beal2011a,community_1,community_4,0,Network Narration in John Dos Passos's U.S.A. Trilogy,Lyon College,United States of America,"Wesley Beal examines John Dos Passo's U.S.A. trilogy (1930-36) to read its complex form - what the author once referred to as a four-way conveyor system - as an intricate networking scheme, and considers it as an archive of early network thinking. Contrary to traditional readings of U.S.A. that discuss its formal properties in terms of dispersal and the supposedly ruinous disconnections of modern life, the paper argues that the interplay of these formal fragments results in a semiotic web that drives Dos Passos's narrative strategy toward a totalizing vision of the nation and, indeed, history. Beal's paper deals with the progressive widening of network figuration in American modernism to think the very politics of national space, and in focusing on the machinic dynamics of Dos Passos's form, the article establishes network discourses as the organizing principle of several pre-digitization modes of production, including Fordism and the modern corporation.",Digital Humanities Quarterly,bordwell2008 | bourne1916a | cowley1936 | cowley1936a | denning1997 | dospassos2000 | dospassos2000a | dospassos2000b | irr1998 | jameson1971 | josephson1997 | kadlec2004 | ludington1980 | phillips1992 | sartre2004 | sartre1995 | sinclair1997 | tichi1987,18,1,-91.6261607,35.7788314,united states,English,Language & Linguistics,narratology | network science - theory and analysis | historical studies | literary studies
97,"Beal, Wesley | Lavin, Stacy",2011,beal2011b,community_1,community_4,0,Theorizing Connectivity: Modernism and the Network Narrative,Lyon College | Independent Scholar,United States of America,Introduction to the Theorizing Connectivity cluster.,Digital Humanities Quarterly,bell2002 | bourne1916a | landow1994,3,1,-91.6261607,35.7788314,united states,English,Language & Linguistics,narratology | network science - theory and analysis | literary studies | historical studies | history of Humanities Computing/Digital Humanities | text mining | corpus linguistics
119,"Bellamy, Craig",2012,bellamy2012,community_3,community_1,0,The Sound of Many Hands Clapping: Teaching the Digital Humanities through Virtual Research Environment (VREs),University of Melbourne,Australia,"At the core of the work done within the digital humanities is a difficult interdisciplinary relationship between the at times divergent cognate fields of computer science and the humanities. This paper will explore some of the characteristics of the digital humanities and examine some of its hard interdisciplinarity relationships. It is the contention of the author that one of the central epistemological challenges within the field is to empower students to successfully manage the thorny interdisciplinary relationship intrinsic to technology and the humanities. Without understanding and managing this relationship, there is a danger that student projects lapse into exceedingly reductive pragmatism or overly theorised clumsiness. The author will suggest a model where this hard-interdisciplinary relationship may be taught and assessed through the critical use and analysis of digital objects within the framework of a Virtual Research Environments (VREs).",Digital Humanities Quarterly,auselit2011 | beane2007 | bowman2011 | busa2005 | bush1945 | crane2011 | davidson2007 | deegan2011 | eaquaproject2011 | engelbart1962 | finerolls2011 | goldberg2007 | maciuka2011 | nelson1965 | ramsay2011b | mccarty2005 | price1979 | rockwell2011b | rockwell2009 | tlg2011,20,1,144.9611738,-37.7963689,australia,Digital Humanities,"Humanities, Multidisciplinary",digital humanities - pedagogy and curriculum | digital literacy | interdisciplinary collaboration | virtual and augmented reality | immersive environments | information architecture | software/tool design and development | digital humanities - nature and significance | resource creation and discovery
56,"Bjork, Olin",2009,bjork2009, ,isolate_1016,0,Reinventing the Classroom Edition: Paradise Lost Book IX Flash Audiotext,Georgia Institute of Technology,United States of America, ,Digital Humanities Quarterly, ,0,1,-84.396285,33.7756178,united states,"Literature, Communication and Culture",Language & Linguistics,multimedia | annotation systems | software/tool design and development | interface and user experience design
24,"Blackwell, Christopher | Martin, Thomas R.",2009,blackwell2009,community_6,community_2,0,"Technology, Collaboration, and Undergraduate Research",Furman University | College of the Holy Cross,United States of America | United States of America,"In this article, two professors of Classics present their experiences in incorporating into their professional activity a model of undergraduate research that reflects Ross Scaifeï¿_ï¿_s ideals of collaborative, open scholarship, informed by traditional values, and taking advantage of advances in digital humanities",Digital Humanities Quarterly,allen1889a | allen1889b | allen1889c | allen1890a | allen1890b | allen1896 | allen1899 | allen1900 | allen1902 | allen1904 | allen1907 | allen1931 | blackwell2004 | cartledge1985 | comparetti1901 | crane1996 | christesen2007 | elliott | finkel2001 | grobman2007 | hanlon2005 | hu2007 | ishiyama2002 | jacoby2004 | kinkead2003 | lopatto2006 | mahaffy1881 | mahoney2003 | malachowski2003 | merkel2003 | mcdorman2004 | nagy2004b | norcia2008 | oates | hornblower1996 | pleasant2003 | robillard2006 | roger2003 | sperberg2002a | stephens2005 | tei2004 | thomas2008 | versnel1992 | willison2007 | wilson2003a,45,1,-82.4391367,34.9245893,united states,Classics,Classics,Classics | digital humanities - pedagogy and curriculum | philology | citation analysis | digital libraries | collaboration | digital scholarship
35,"Blackwell, Christopher | Crane, Gregory",2009,blackwell2009b,community_8,community_1,1,"Conclusion: Cyberinfrastructure, the Scaife Digital Library and Classics in a Digital age",Furman University | Tufts University,United States of America | United States of America,"We can already begin to envision research projects that were scarcely, if at all, feasible in print culture. The papers in this collection allow us as well to enumerate the services and publication types on which emerging scholarship depends. We also need models for publication that meet the needs and realize the potential of the digital media and we describe here the Scaife Digital Library, a concrete example of true digital publication.",Digital Humanities Quarterly,atkins2003 | bamman2008 | bamman2007 | bamman2006 | bankier2008 | berti2007 | byrne2007 | campbell2006 | cardey2006 | carpuat2005 | crane1991 | crane2006a | crane2006e | dawkins1976 | dekhtyar2006 | deng2006 | derrida1981 | eder2007 | emerson1971 | ernstgerlach2008 | feng2006 | foxe1965 | giles2005 | grafton2007 | hahn2008 | hockxyu2006 | ide1998 | johnson2007 | jones2007 | kaufman2007 | liu2007 | lu2007 | marchionini1994 | marchionini2000 | martin1996 | mccown2005 | mobley1998 | monella2008 | nadeau2007 | packard1973 | panitch2005 | pantel2002 | parrott2004 | petrelli2006 | pomerantz2007 | porter2006 | pouliquen2003 | pritchard2008 | raymond1987 | robinson2005b | romanello2008 | rosenzweig2006 | sankar2006 | schilit2008 | schreibman2003 | shirky2008 | smith2008 | toselli2007 | turing1950 | vonhumboldt1821 | vonranke1973 | zavlavsky2001,62,1,-82.4391367,34.9245893,united states,Computer Science,"Computer Science, Interdisciplinary Applications",cyberinfrastructure | Classics | philology | open access | publishing and delivery systems | digital libraries | corpora and corpus activities | multilingual / multicultural approaches | digitization - theory and practice | natural language processing | digital classics | digital curation | digital publishing |
122,"Boluk, Stephanie | LeMieux, Patrick",2012,boluk2012,community_5,community_0,0,Stretched Skulls: Anamorphic Games and the memento mortem mortis,Vassar College | Duke University,United States of America | United States of America,"From Hans Holbeinï¿_ï¿_s The Ambassadors to Robert Lazzariniï¿_ï¿_s skulls, anamorphic artworks explore the tension between mathematical models of vision and an embodied experience of space. After reviewing the ways in which anamorphosis has been deployed as a philosophical tool for investigating digital media in terms of human phenomenology, specifically through the criticism of Espen Aarseth and Mark Hansen, this paper analyzes how contemporary videogames like Sonyï¿_ï¿_s Echochrome series, levelHead by Julian Oliver, and Mark ten Boschï¿_ï¿_s forthcoming Miegakure technically, aesthetically, and conceptually explore anamorphic techniques. While The Ambassadors is famous for its anamorphically skewed skull, a classic memento mori, we propose that the anamorphic effects of videogames can be more accurately described as a memento mortem mortis: not reminders of human mortality, but of a nonhuman the death of death. By foregrounding the impossibility of ever fully resolving the human experience of computational space, the memento mortem mortis in these anamorphic games gestures toward experiential domains altogether indifferent to human phenomenology to create allegories of the beyond.",Digital Humanities Quarterly,aarseth1997 | bogost2012 | bolter1999 | bryant2010 | caillois2001 | clark1998 | damisch1995 | deleuze1986 | friedberg2006 | galloway2006a | hansen2006a | harman2002 | harpold2009 | henderson1984 | iwata2011 | kirsh1994 | lacan1998 | mccormick2011 | meillassoux2008 | mitchell1994b | nideffer2007 | oliver2009 | pliny | panofsky1996 | seaman2000 | sony2008 | tenbosch2011 | thacker2010,28,1,-73.894944,41.686662,united states,Media,Art,digital art | gaming/ game studies | philosophy | interface and user experience design | new/digital media studies | content analysis | immersive environments | virtual and augmented reality | media studies
77,"Borgman, Christine L.",2009,borgman2009,community_4,community_1,5,The Digital Future is Now: A Call to Action for the Humanities,UCLA,United States of America,"The digital humanities are at a critical moment in the transition from a specialty area to a full-fledged community with a common set of methods, sources of evidence, and infrastructure ï¿_ï¿_ï¿_ all of which are necessary for achieving academic recognition. As budgets are slashed and marginal programs are eliminated in the current economic crisis, only the most articulate and productive will survive. Digital collections are proliferating, but most remain difficult to use, and digital scholarship remains a backwater in most humanities departments with respect to hiring, promotion, and teaching practices. Only the scholars themselves are in a position to move the field forward. Experiences of the sciences in their initiatives for cyberinfrastructure and eScience offer valuable lessons. Information- and data-intensive, distributed, collaborative, and multi-disciplinary research is now the norm in the sciences, while remaining experimental in the humanities. Discussed here are six factors for comparison, selected for their implications for the future of digital scholarship in the humanities: publication practices, data, research methods, collaboration, incentives, and learning. Drawing upon lessons gleaned from these comparisons, humanities scholars are called to action with five questions to address as a community: What are data? What are the infrastructure requirements? Where are the social studies of digital humanities? What is the humanities laboratory of the 21st century? What is the value proposition for digital humanities in an era of declining budgets?",Digital Humanities Quarterly,ainsworth2009b | adho2009 | anderson2004 | jacobsandwalsh2004 | arxiv2009 | arzberger2004 | atkins2007 | atkins2003 | ayers2003 | bailey2005 | baker2009a | bates1996a | bates1996b | bates1993 | bates1995 | bell2009 | bollen2008 | borgman1999 | borgman2000 | borgman2007 | borgman2009a | borgman2008 | borgman2007b | buckland1991 | case2006 | cclearn2009 | choudhury2008 | choudhury2007 | crane2006f | crane2007a | crane2001 | creative2009 | cronin2005 | foundation2005 | david2003 | davidspence2003 | odh2009 | manifesto2008 | doaj2009 | doar2008 | drucker2009b | duguid2009 | ebird2009 | edwards2007 | ecai2009 | eprints2010 | foster2009 | friedlander2008 | friedlander2009 | frischer2009 | galison1997 | gray2005 | gray2002 | greenstein2004 | hamma2009 | hey2009a | hoofnagle2009 | hypercities2009 | iath | ivanhoe2009 | jaschik2008 | jaschik2007 | jpmc2000 | jsah2009 | kanfer2000 | king2006a | bollen2010 | board2005 | lynch2002 | lynch2003a | lynch1995 | mahoney2002 | manovich2009a | marchionini1994 | mass2006 | mith2009 | monastersky2005 | nctm2009 | ninch2002 | nunberg2009 | oecd2007 | oerc2009 | olson2000 | oaip2009 | opencontent | opencit2009 | opened2009 | panstarrs2009 | pea2003 | crane2009d | poe2001 | presner2010 | presner2009a | pb2009 | reedijk2008 | committee2002 | rpe2009 | rice2008 | rome2009 | samuelson2009 | scheiner2004 | sc2009 | swaw3c2009 | save2009 | sherpa2009 | siegfried1993 | sloan2006 | smith2002c | stone1982 | src2009a | src2009b | szalay2008 | educause2009 | effect2009 | facts2005 | thierstein2009 | tibbo2003 | thl2009 | ukrc2009 | ucgbs2009 | ukda2009 | ucps2009 | unsworth2006 | vanhouse2004 | vectors2009 | whalen2009 | wiberley2003 | wiberley1994 | willinsky2006 | willinsky2009,130,1,-118.4451811,34.068921,united states,Information Studies,Information Science & Library Science,digital humanities - institutional support | digital humanities - nature and significance | cyberinfrastructure | e-science | digital humanities - pedagogy and curriculum | digital publishing | interdisciplinary collaboration | digital scholarship
121,"Bradley, John",2012,bradley2012,community_4,community_1,0,"Towards a Richer Sense of Digital Annotation: Moving Beyond a ""Media"" Orientation of the Annotation of Digital Objects",King's College London,United Kingdom,"Digital technology often gives us the chance to re-conceive common scholarly practices with the humanities, and one of these is the practice of annotation. Whereas many in the digital humanities look at annotation through the lens of social media, in this paper we consider annotationï¿_ï¿_s already established function in scholarship: to support the development of an interpretation of a body of material. It begins by applying a ï¿_ï¿_ï¿_software applicationï¿_ï¿_ perspective to annotation and it notes that personal annotation sits at the nexus between the publishing application of the material being annotated, and an interpretation development application that aims to support the readerï¿_ï¿_s thinking. Once this application orientation is taken up, it becomes evident that it is useful to re-conceptualise aspects of annotation beyond the annotation-of-media focus which the World Wide Web has encouraged in all of us. The paper does this by considering annotation in an application that is not media oriented in nature, Northwestern Universityï¿_ï¿_s WordHoard, and it explores some of the significance of annotation where the applicationï¿_ï¿_s data model ï¿_ï¿_ï¿_ with its inherent semantic significance ï¿_ï¿_ï¿_ is available to be annotated. There is a growing interest in thinking of the WWW as a delivery mechanism for software applications rather than merely for documents, and thus many of the issues that this paper raises could apply to the work of web-oriented developers too.",Digital Humanities Quarterly,agnostiandferro2007 | ao2012 | birsan2005 | bradley2008a | bradley2008c | bradley2008b | bradleyhill2011 | brockmanetal2001 | ciccareseetal2010 | cohen2008b | dm2012 | eclipse2011 | hunter2009b | jacobsandwalsh2004 | lassilaandswick1999 | marshall1998 | marshallandbush2004 | moretti2005 | oac2011 | ontotext2011 | bradley2006 | salsah2012 | sandersonandvandesompel2011 | signerandnorrie2009 | tennison2011 | tile2011 | victoriaandalbert | wermelingerandyu2008 | wordhoard2004-11 | zotero2012,30,1,-0.096023,51.4683603,united kingdom,Digital Humanities,"Humanities, Multidisciplinary",annotation systems | semantic analysis | content analysis | new/digital media studies | digital scholarship | internet / world wide web | software/tool design and development | digital humanities - nature and significance | multimedia
